Question,Label,Tagged
How much time for making glazed yeast doughnuts?,TIME,How much time for making <name>glazed</name> <name>yeast</name> <name>doughnuts</name> ?
How many cups of mustard for grilling quick beef pizza?,QTY,How many cups of <ing>mustard</ing> for <method>grilling</method> <name>quick</name> <name>beef</name> <name>pizza</name> ?
cardamom biscuits?,ALL,
All information of Savory Stuffed Zucchini dish,ALL,All information of <name>Savory</name> <name>Stuffed</name> <name>Zucchini</name> dish
Please give me nutrition value of Italian Cioppino?,NUT,Please give me nutrition value of <name>Italian</name> <name>Cioppino</name> ?
How much time to make Tangy Cranberry Sauce?,TIME,How much time to make <name>Tangy</name> <name>Cranberry</name> <name>Sauce</name> ?
Hibachi-Style Fried Rice?,ALL,<name>Hibachi-Style</name> <name>Fried</name> <name>Rice</name> ?
what are  interesting Frittata recipes to try ?,NAME,what are interesting <type>Frittata</type> recipes to try ?
The amount of onion to roast hot banana milkshake dish is how much?,QTY,The amount of <ing>onion</ing> to <method>roast</method> <name>hot</name> <name>banana</name> <name>milkshake</name> dish is how much ?
ingredients for Crawfish Potato Soup?,ING,ingredients for <name>Crawfish</name> <name>Potato</name> <name>Soup</name> ?
How to boil Peruvian Aji Sauce dish?,DIR,How to <method>boil</method> <name>Peruvian</name> <name>Aji</name> <name>Sauce</name> dish ?
How long does it take for baking Sauceless Garden Lasagna?,TIME,How long does it take for <method>baking</method> <name>Sauceless</name> <name>Garden</name> <name>Lasagna</name> ?
"How many head cabbages, butters do I need for paleo-friendly applesauce cookie?",QTY,"How many <ing>head</ing> <ing>cabbages</ing> , <ing>butters</ing> do I need for <name>paleo-friendly</name> <name>applesauce</name> <name>cookie</name> ?"
what is winter punch dish?,OBJ,
What can you tell me about Balsamic Rhubarb Compote?,OBJ,What can you tell me about <name>Balsamic</name> <name>Rhubarb</name> <name>Compote</name> ?
What can I use to stew homemade hot chocolate?,ING,What can I use to <method>stew</method> <name>homemade</name> <name>hot</name> <name>chocolate</name> ?
Any good recipes for stewing avocado?,NAME,Any good recipes for <method>stewing</method> <ing>avocado</ing> ?
What are ingredients for the Jalapeno Souffle?,ING,What are ingredients for the <name>Jalapeno</name> <name>Souffle</name> ?
"What can I mix with white rice, water to make dish cranberry salad v?",ING,"What can I mix with <ing>white</ing> <ing>rice</ing> , <ing>water</ing> to make dish <name>cranberry</name> <name>salad</name> <name>v</name> ?"
Can you give me a recipe for yummy artichoke dip with white rice and water?,DIR,Can you give me a recipe for <name>yummy</name> <name>artichoke</name> <name>dip</name> with <ing>white</ing> <ing>rice</ing> and <ing>water</ing> ?
What are the devices for preparing Chicken Half Moons?,EQUIP,What are the devices for preparing <name>Chicken</name> <name>Half</name> <name>Moons</name> ?
Recipe for the best Breakfast Potatoes?,DIR,Recipe for the best <name>Breakfast</name> <name>Potatoes</name> ?
What are the nutrients present in Lally's Chicken?,NUT,What are the nutrients present in <name>Lally</name> <name>'s</name> <name>Chicken</name> ?
Which kitchen devices do you need to fry red pepper vinaigrette dish?,EQUIP,Which kitchen devices do you need to <method>fry</method> <name>red</name> <name>pepper</name> <name>vinaigrette</name> dish ?
Give me the recipe of making the Bolivian Saltenas please!?,DIR,Give me the recipe of making the <name>Bolivian</name> <name>Saltenas</name> please ! ?
How should I boil chicken?,DIR,How should I <method>boil</method> <ing>chicken</ing> ?
Chicken recipes using butter and sugar?,NAME,<type>Chicken</type> recipes using <ing>butter</ing> and <ing>sugar</ing> ?
Which recipes for baking shallot?,NAME,Which recipes for <method>baking</method> <ing>shallot</ing> ?
hot pepper mustard recipe?,ALL,<name>hot</name> <name>pepper</name> <name>mustard</name> recipe ?
All about tomato basil towers,ALL,All about <name>tomato</name> <name>basil</name> <name>towers</name>
what is the utensil used for frying thai chicken satay?,EQUIP,what is the utensil used for <method>frying</method> <name>thai</name> <name>chicken</name> <name>satay</name> ?
Instruct me for roasting chelsea buns.,DIR,Instruct me for <method>roasting</method> <name>chelsea</name> <name>buns</name> .
Which recipes for boiling butter?,NAME,Which recipes for <method>boiling</method> <ing>butter</ing> ?
what is in chocolate chia pudding?,ING,what is in <name>chocolate</name> <name>chia</name> <name>pudding</name> ?
what is in Thin Mint Crackers?,ING,what is in <name>Thin</name> <name>Mint</name> <name>Crackers</name> ?
how much butter should be used to prepare Baked Apples dish?,QTY,how much <ing>butter</ing> should be used to prepare <name>Baked</name> <name>Apples</name> dish ?
What is persian yogurt salad made of?,ING,What is <name>persian</name> <name>yogurt</name> <name>salad</name> made of ?
"I have some zucchinis, what are good recipes to make with it?",NAME,"I have some <ing>zucchinis</ing> , what are good recipes to make with it ?"
how much olive oil should be used to boil dish Infused Olive Oil?,QTY,how much <ing>olive</ing> <ing>oil</ing> should be used to <method>boil</method> dish <name>Infused</name> <name>Olive</name> <name>Oil</name> ?
what is fresh apricot crisp?,OBJ,
Help me to steam the Homemade Grape Nuts®,DIR,Help me to <method>steam</method> the <name>Homemade</name> <name>Grape</name> <name>Nuts®</name>
What can I mix with butter and sugar to boil Sugar Cookie Icing?,ING,What can I mix with <ing>butter</ing> and <ing>sugar</ing> to <method>boil</method> <name>Sugar</name> <name>Cookie</name> <name>Icing</name> ?
Quantity of mozzarella cheese to grill Papaya Passion Smoothie?,QTY,Quantity of <ing>mozzarella</ing> <ing>cheese</ing> to <method>grill</method> <name>Papaya</name> <name>Passion</name> <name>Smoothie</name> ?
Do you know how to prepare lunch biscuits dish?,DIR,Do you know how to prepare <name>lunch</name> <name>biscuits</name> dish ?
Any good recipes for boiling zucchini?,NAME,Any good recipes for <method>boiling</method> <ing>zucchini</ing> ?
All information of Cabbage Borsht dish,ALL,
How much time should I boil dish Spring Salad?,TIME,How much time should I <method>boil</method> dish <name>Spring</name> <name>Salad</name> ?
What are some ingredients I can use for the bison stew?,ING,What are some ingredients I can use for the <name>bison</name> <name>stew</name> ?
Any good recipes for roasting corn?,NAME,Any good recipes for <method>roasting</method> <ing>corn</ing> ?
What is the nutritional value of Lemon Asparagus Pasta?,NUT,What is the nutritional value of <name>Lemon</name> <name>Asparagus</name> <name>Pasta</name> ?
What nutritional value do texican squash have?,NUT,What nutritional value do <name>texican</name> <name>squash</name> have ?
How should I bake two medium carrots and shrimp?,DIR,How should I <method>bake</method> two <ing>medium</ing> <ing>carrots</ing> and <ing>shrimp</ing> ?
How much time should I bake dish Shrimp Pad Thai?,TIME,How much time should I <method>bake</method> dish <name>Shrimp</name> <name>Pad</name> <name>Thai</name> ?
"Can you give me a recipe for Marinated Mushrooms with hot dog, two onions and 2 zucchinis?",DIR,"Can you give me a recipe for <name>Marinated</name> <name>Mushrooms</name> with <ing>hot</ing> <ing>dog</ing> , two <ing>onions</ing> and 2 <ing>zucchinis</ing> ?"
Give me the recipe of boiling the indonesian nasi goreng please!?,DIR,Give me the recipe of <method>boiling</method> the <name>indonesian</name> <name>nasi</name> <name>goreng</name> please ! ?
what cooking utensils are used in the bread bowls ii?,EQUIP,what cooking utensils are used in the <name>bread</name> <name>bowls</name> <name>ii</name> ?
What the heck is Green Tomato Relish?,OBJ,What the heck is <name>Green</name> <name>Tomato</name> <name>Relish</name> ?
What’s the best way to steam Almond Butter Smoothie dish?,DIR,What ’ s the best way to <method>steam</method> <name>Almond</name> <name>Butter</name> <name>Smoothie</name> dish ?
What should I cook for lunch?,NAME,What should I cook for <type>lunch</type> ?
Equipment list essential for baking the broccoli cornbread?,EQUIP,Equipment list essential for <method>baking</method> the <name>broccoli</name> <name>cornbread</name> ?
What could I use on Micheladas with Tajin?,ING,What could I use on <name>Micheladas</name> ?
Any good Whiskey Drinks recipes?,NAME,Any good <type>Whiskey</type> <type>Drinks</type> recipes ?
"what are the different ways to grill two cucumbers, two watermelons?",NAME,"what are the different ways to <method>grill</method> two <ing>cucumbers</ing> , two <ing>watermelons</ing> ?"
Do you know how to make Latvian Honey Cake?,DIR,Do you know how to make <name>Latvian</name> <name>Honey</name> <name>Cake</name> ?
The amount of turkey to prepare dish Tepache is how much?,QTY,The amount of <ing>turkey</ing> to prepare dish <name>Tepache</name> is how much ?
What are the necessary utensils to prepare the Walnut Raisin Scones?,EQUIP,What are the necessary utensils to prepare the <name>Walnut</name> <name>Raisin</name> <name>Scones</name> ?
What is the best way for roasting leek?,DIR,What is the best way for <method>roasting</method> <ing>leek</ing> ?
How long can Dog Biscuits II be grilled?,TIME,How long can <name>Dog</name> <name>Biscuits</name> <name>II</name> be <method>grilled</method> ?
What is Stuffed Pumpkin II?,OBJ,What is <name>Stuffed</name> <name>Pumpkin</name> <name>II</name> ?
What nutritional value do cherry mash bars have?,NUT,What nutritional value do <name>cherry</name> <name>mash</name> <name>bars</name> have ?
What can I mix with white rice and water to fry Baked Brussels Sprouts?,ING,What can I mix with <ing>white</ing> <ing>rice</ing> and <ing>water</ing> to <method>fry</method> <name>Baked</name> <name>Brussels</name> <name>Sprouts</name> ?
how much mustard should be used to fry Schweinebraten Pork Roast?,QTY,how much <ing>mustard</ing> should be used to <method>fry</method> <name>Schweinebraten</name> <name>Pork</name> <name>Roast</name> ?
How long to boil cocktail meatballs?,TIME,How long to <method>boil</method> <name>cocktail</name> <name>meatballs</name> ?
What can I use to steam Moroccan Lentil Stew?,ING,What can I use to <method>steam</method> <name>Moroccan</name> <name>Lentil</name> <name>Stew</name> ?
What are some ingredients I can use for the ranch-style fajitas?,ING,What are some ingredients I can use for the <name>ranch-style</name> <name>fajitas</name> ?
Tell me something about brazilian banana bread dish?,OBJ,Tell me something about <name>brazilian</name> <name>banana</name> <name>bread</name> dish ?
what is yeast-free cinnamon rolls?,OBJ,
Which kitchen devices do you need to bake beef paprika?,EQUIP,Which kitchen devices do you need to <method>bake</method> <name>beef</name> <name>paprika</name> ?
All about mushroom crespelle,ALL,All about <name>mushroom</name> <name>crespelle</name>
Utensils to boil Chocolate Bark dish?,EQUIP,Utensils to <method>boil</method> <name>Chocolate</name> <name>Bark</name> dish ?
Best pastry recipes for making pear?,NAME,Best <type>pastry</type> recipes for making <ing>pear</ing> ?
jumpin' chickpeas - the best way to roast it?,DIR,<name>jumpin</name> <name>'</name> <name>chickpeas</name> - the best way to <method>roast</method> it ?
What is the best way for grilling avocado?,DIR,What is the best way for <method>grilling</method> <ing>avocado</ing> ?
How much time to cook Banana-Zucchini Bread?,TIME,How much time to cook <name>Banana-Zucchini</name> <name>Bread</name> ?
What are good Thai dishes with cloves and shrimp?,NAME,What are good <type>Thai</type> dishes with <ing>cloves</ing> and <ing>shrimp</ing> ?
What can you tell me about Creamed Hash Browns?,OBJ,What can you tell me about <name>Creamed</name> <name>Hash</name> <name>Browns</name> ?
What’s the best way to stew buttermilk banana pancakes?,DIR,What ’ s the best way to <method>stew</method> <name>buttermilk</name> <name>banana</name> <name>pancakes</name> ?
How long for making masala chai?,TIME,How long for making <name>masala</name> <name>chai</name> ?
ranch-style fajitas?,ALL,<name>ranch-style</name> <name>fajitas</name> ?
Which ingredients in hot pepper mustard?,ING,Which ingredients in <name>hot</name> <name>pepper</name> <name>mustard</name> ?
what is Blueberry Granita dish?,OBJ,
Best Roasted Okra recipe?,ALL,
Help me to roast the poison apple martini,DIR,Help me to <method>roast</method> the <name>poison</name> <name>apple</name> <name>martini</name>
I want ingredient advice for Easy Garden Meatloaf?,ING,I want ingredient advice for <name>Easy</name> <name>Garden</name> <name>Meatloaf</name> ?
Do you know how to stew Wonton Soup and Jalapeno Souffle dishes?,DIR,Do you know how to <method>stew</method> <name>Wonton</name> <name>Soup</name> and <name>Jalapeno</name> <name>Souffle</name> dishes ?
How many shrimps do I need for dish Pear-Fig Salad?,QTY,How many <ing>shrimps</ing> do I need for dish <name>Pear-Fig</name> <name>Salad</name> ?
Best french herb bread recipe?,ALL,
Utensils for cooking Worcestershire Peppered Pork?,EQUIP,Utensils for cooking <name>Worcestershire</name> <name>Peppered</name> <name>Pork</name> ?
Need some help to grill Black Treacle Scones?,DIR,Need some help to <method>grill</method> <name>Black</name> <name>Treacle</name> <name>Scones</name> ?
Do you know how long it takes lauhillau cookies to boil?,TIME,Do you know how long it takes <name>lauhillau</name> <name>cookies</name> to <method>boil</method> ?
How do I steam decorator frosting i from clove?,DIR,How do I <method>steam</method> <name>decorator</name> <name>frosting</name> <name>i</name> from <ing>clove</ing> ?
How many tablespoons of water for making Tofu Mayo?,QTY,How many tablespoons of <ing>water</ing> for making <name>Tofu</name> <name>Mayo</name> ?
How long does it take to simmer indonesian fried rice dish?,TIME,How long does it take to <method>simmer</method> <name>indonesian</name> <name>fried</name> <name>rice</name> dish ?
Which recipes to prepare peanuts and broccoli?,NAME,Which recipes to prepare <ing>peanuts</ing> and <ing>broccoli</ing> ?
apple nut muffins recipe?,ALL,
Which recipes for cooking peanut?,NAME,Which recipes for cooking <ing>peanut</ing> ?
How long for simmering cranberry persimmon bread?,TIME,How long for <method>simmering</method> <name>cranberry</name> <name>persimmon</name> <name>bread</name> ?
How do I prepare Crab Dip perfectly?,DIR,How do I prepare <name>Crab</name> <name>Dip</name> perfectly ?
spiralized apple salad recipe?,ALL,<name>spiralized</name> <name>apple</name> <name>salad</name> recipe ?
What are the necessary utensils to fry the Egg Salad II?,EQUIP,What are the necessary utensils to <method>fry</method> the <name>Egg</name> <name>Salad</name> <name>II</name> ?
How long does it take for roasting Potato Soup?,TIME,How long does it take for <method>roasting</method> <name>Potato</name> <name>Soup</name> ?
how is the Rhubarb Pudding Cake simmered?,DIR,how is the <name>Rhubarb</name> <name>Pudding</name> <name>Cake</name> <method>simmered</method> ?
How much flour will I need to fry easy passover lasagna?,QTY,How much <ing>flour</ing> will I need to <method>fry</method> <name>easy</name> <name>passover</name> <name>lasagna</name> ?
Which recipes for roasting medium carrot?,NAME,Which recipes for <method>roasting</method> <ing>medium</ing> <ing>carrot</ing> ?
Help to fry Southern Collard Greens - What should I do?,DIR,Help to <method>fry</method> <name>Southern</name> <name>Collard</name> <name>Greens</name> - What should I do ?
How many avocados do I need for swiss meringue buttercream?,QTY,How many <ing>avocados</ing> do I need for <name>swiss</name> <name>meringue</name> <name>buttercream</name> ?
Best breakfast bread recipes for frying medium carrot?,NAME,Best <type>breakfast</type> <type>bread</type> recipes for <method>frying</method> <ing>medium</ing> <ing>carrot</ing> ?
The amount of butter to fry garlic green beans is how much?,QTY,The amount of <ing>butter</ing> to <method>fry</method> <name>garlic</name> <name>green</name> <name>beans</name> is how much ?
How many tablespoons of white rice for stewing Golden Vegetable Chicken?,QTY,How many tablespoons of <ing>white</ing> <ing>rice</ing> for <method>stewing</method> <name>Golden</name> <name>Vegetable</name> <name>Chicken</name> ?
Yogurt Ranch Dressing?,ALL,
Any good korean recipes?,NAME,Any good <type>korean</type> recipes ?
flan recipes using corn?,NAME,<type>flan</type> recipes using <ing>corn</ing> ?
"Quick Bread recipes using two medium carrots, mozzarella cheeses and leeks?",NAME,"<type>Quick</type> <type>Bread</type> recipes using two <ing>medium</ing> <ing>carrots</ing> , <ing>mozzarella</ing> <ing>cheeses</ing> and <ing>leeks</ing> ?"
Tell me something about dish buttermilk pie ii?,OBJ,Tell me something about dish <name>buttermilk</name> <name>pie</name> <name>ii</name> ?
Description about Steamed Black Bread,OBJ,Description about <name>Steamed</name> <name>Black</name> <name>Bread</name>
swiss recipes?,NAME,<type>swiss</type> recipes ?
How long does it take to cook dish antioxidant trail mix?,TIME,How long does it take to cook dish <name>antioxidant</name> <name>trail</name> <name>mix</name> ?
Peruvian Aji Sauce recipe?,ALL,<name>Peruvian</name> <name>Aji</name> <name>Sauce</name> recipe ?
How much time to fry Tarragon Rice Salad?,TIME,How much time to <method>fry</method> <name>Tarragon</name> <name>Rice</name> <name>Salad</name> ?
Potato Poofies recipe?,ALL,<name>Potato</name> <name>Poofies</name> recipe ?
what is the utensil used for baking Vanilla-Banana Smoothie?,EQUIP,what is the utensil used for <method>baking</method> <name>Vanilla-Banana</name> <name>Smoothie</name> ?
What can you tell me about Zucchini Spaghetti?,OBJ,What can you tell me about <name>Zucchini</name> <name>Spaghetti</name> ?
"How do I cook Chicken Half Moons from white rice, flour and olive oil?",DIR,"How do I cook <name>Chicken</name> <name>Half</name> <name>Moons</name> from <ing>white</ing> <ing>rice</ing> , <ing>flour</ing> and <ing>olive</ing> <ing>oil</ing> ?"
Which utensils is required for dish savory mushroom sauce?,EQUIP,Which utensils is required for dish <name>savory</name> <name>mushroom</name> <name>sauce</name> ?
What can I mix with olive oil for grilling Peachy Ginger Soup?,ING,What can I mix with <ing>olive</ing> <ing>oil</ing> for <method>grilling</method> <name>Peachy</name> <name>Ginger</name> <name>Soup</name> ?
Best way for grilling summertime cucumber salad?,DIR,Best way for <method>grilling</method> <name>summertime</name> <name>cucumber</name> <name>salad</name> ?
Apple Spice Cake?,ALL,<name>Apple</name> <name>Spice</name> <name>Cake</name> ?
The amount of small zucchini to grill buttermilk banana bread is how much?,QTY,The amount of <ing>small</ing> <ing>zucchini</ing> to <method>grill</method> <name>buttermilk</name> <name>banana</name> <name>bread</name> is how much ?
Paraguay Passion recipe?,ALL,<name>Paraguay</name> <name>Passion</name> recipe ?
What can you tell me about Golden Potato Soup?,OBJ,What can you tell me about <name>Golden</name> <name>Potato</name> <name>Soup</name> ?
How much time to roast Honey-Mustard Baked Chicken?,TIME,How much time to <method>roast</method> <name>Honey-Mustard</name> <name>Baked</name> <name>Chicken</name> ?
sugar cookie recipes?,NAME,<type>sugar</type> <type>cookie</type> recipes ?
What nutritional value do vegetarian breakfast tacos have?,NUT,What nutritional value do <name>vegetarian</name> <name>breakfast</name> <name>tacos</name> have ?
What is easy tuna patties dish?,OBJ,What is <name>easy</name> <name>tuna</name> <name>patties</name> dish ?
How many tablespoons of milk for frying Hoisin-Glazed Chicken Thighs?,QTY,How many tablespoons of <ing>milk</ing> for <method>frying</method> <name>Hoisin-Glazed</name> <name>Chicken</name> <name>Thighs</name> ?
How long do I make bread machine calzone?,TIME,How long do I make <name>bread</name> <name>machine</name> <name>calzone</name> ?
puto recipe?,ALL,
Which utensils is required for Veggie Tuna Salad?,EQUIP,Which utensils is required for <name>Veggie</name> <name>Tuna</name> <name>Salad</name> ?
What is 10-Minute Rice Cakes made of?,ING,What is <name>10-Minute</name> <name>Rice</name> <name>Cakes</name> made of ?
How many cups of cheese for cooking tortillas i?,QTY,How many cups of <ing>cheese</ing> for cooking <name>tortillas</name> <name>i</name> ?
What's in asparagus with brie?,ING,What 's in <name>asparagus</name> with <ing>brie</ing> ?
Instruct me for preparing Vanilla Almond Milk.,DIR,Instruct me for preparing <name>Vanilla</name> <name>Almond</name> <name>Milk</name> .
Best Air Fryer Arancini recipe?,ALL,Best <name>Air</name> <name>Fryer</name> <name>Arancini</name> recipe ?
What are some quick cucumber salad recipes?,NAME,What are some <type>quick</type> <type>cucumber</type> <type>salad</type> recipes ?
what kinds of Chicken dishes can I boil with zucchini?,NAME,what kinds of <type>Chicken</type> dishes can I <method>boil</method> with <ing>zucchini</ing> ?
What are ingredients for the Chicken Half Moons?,ING,What are ingredients for the <name>Chicken</name> <name>Half</name> <name>Moons</name> ?
Best percolator punch recipe?,ALL,Best <name>percolator</name> <name>punch</name> recipe ?
What are the required utensils for preparing dish Cauliflower Puree?,EQUIP,What are the required utensils for preparing dish <name>Cauliflower</name> <name>Puree</name> ?
Best way for baking butter?,DIR,Best way for <method>baking</method> <ing>butter</ing> ?
How much time for grilling santa leg cupcakes?,TIME,How much time for <method>grilling</method> <name>santa</name> <name>leg</name> <name>cupcakes</name> ?
Any good Asian recipes?,NAME,Any good <type>Asian</type> recipes ?
what is the utensil used for steaming Quick Butter Croissants?,EQUIP,what is the utensil used for <method>steaming</method> <name>Quick</name> <name>Butter</name> <name>Croissants</name> ?
Which ingredients in Skinny Meatloaf dish?,ING,Which ingredients in <name>Skinny</name> <name>Meatloaf</name> dish ?
Cherry Snowball Cookies?,ALL,
How should I simmer mushroom?,DIR,How should I <method>simmer</method> <ing>mushroom</ing> ?
Ingredients to bake Hibachi-Style Fried Rice,ING,Ingredients to <method>bake</method> <name>Hibachi-Style</name> <name>Fried</name> <name>Rice</name>
"How do I grill Crab Dip dish from yams, four shrimps?",DIR,"How do I <method>grill</method> <name>Crab</name> <name>Dip</name> dish from <ing>yams</ing> , four <ing>shrimps</ing> ?"
Which recipes to cook peanuts and watermelon?,NAME,Which recipes to cook <ing>peanuts</ing> and <ing>watermelon</ing> ?
What is roasted creole potatoes made of?,ING,What is <name>roasted</name> <name>creole</name> <name>potatoes</name> made of ?
What is Cran-Dandy Cooler?,OBJ,What is <name>Cran-Dandy</name> <name>Cooler</name> ?
I need 10 different recipes of beef?,NAME,I need 10 different recipes of <type>beef</type> ?
how much butter for frying easy raspberry salad?,QTY,how much <ing>butter</ing> for <method>frying</method> <name>easy</name> <name>raspberry</name> <name>salad</name> ?
steaming time of glazed pork chop?,TIME,<method>steaming</method> time of <name>glazed</name> <name>pork</name> <name>chop</name> ?
what is Starter Smoothie?,OBJ,
how much cheese for boiling Lemon Asparagus?,QTY,how much <ing>cheese</ing> for <method>boiling</method> <name>Lemon</name> <name>Asparagus</name> ?
Best Chanterelle Mushroom Quiche recipe?,ALL,Best <name>Chanterelle</name> <name>Mushroom</name> <name>Quiche</name> recipe ?
How many cups of flour need to bake fluffy cranberry salad?,QTY,How many cups of <ing>flour</ing> need to <method>bake</method> <name>fluffy</name> <name>cranberry</name> <name>salad</name> ?
"Which recipes to grill cucumbers, watermelons?",NAME,"Which recipes to <method>grill</method> <ing>cucumbers</ing> , <ing>watermelons</ing> ?"
What’s the best way to roast cockaleekie soup?,DIR,What ’ s the best way to <method>roast</method> <name>cockaleekie</name> <name>soup</name> ?
How much time for stewing Texas Egg Rolls?,TIME,How much time for <method>stewing</method> <name>Texas</name> <name>Egg</name> <name>Rolls</name> ?
coconut shrimp ceviche - the best way to simmer it?,DIR,<name>coconut</name> <name>shrimp</name> <name>ceviche</name> - the best way to <method>simmer</method> it ?
Sangria Melon Chiller recipe?,ALL,<name>Sangria</name> <name>Melon</name> <name>Chiller</name> recipe ?
what cooking utensils are used in the fresh applesauce dish?,EQUIP,what cooking utensils are used in the <name>fresh</name> <name>applesauce</name> dish ?
what can i do with butters and lemon?,NAME,what can i do with <ing>butters</ing> and <ing>lemon</ing> ?
What should I cook for christmas?,NAME,What should I cook for <type>christmas</type> ?
How long for stewing carrot-apple muffins?,TIME,How long for <method>stewing</method> <name>carrot-apple</name> <name>muffins</name> ?
"How many mushroom, onions and medium carrots to prepare summertime cucumber salad?",QTY,"How many <ing>mushroom</ing> , <ing>onions</ing> and <ing>medium</ing> <ing>carrots</ing> to prepare <name>summertime</name> <name>cucumber</name> <name>salad</name> ?"
What are the ingredients for roasting Marinated Mushrooms?,ING,What are the ingredients for <method>roasting</method> <name>Marinated</name> <name>Mushrooms</name> ?
What should I know about Breaded Pan-Fried Salmon?,OBJ,What should I know about <name>Breaded</name> <name>Pan-Fried</name> <name>Salmon</name> ?
How should I roast leek?,DIR,How should I <method>roast</method> <ing>leek</ing> ?
Best watermelon fruit bowl recipe?,ALL,Best <name>watermelon</name> <name>fruit</name> <name>bowl</name> recipe ?
Best way for boiling Strawberry Rhubarb Muffins?,DIR,Best way for <method>boiling</method> <name>Strawberry</name> <name>Rhubarb</name> <name>Muffins</name> ?
What are the required utensils for baking Super BLT?,EQUIP,What are the required utensils for <method>baking</method> <name>Super</name> <name>BLT</name> ?
"Help me to grill the Basil Pesto Hummus, Yummy Pink Punch dishes.",DIR,"Help me to <method>grill</method> the <name>Basil</name> <name>Pesto</name> <name>Hummus</name> , <name>Yummy</name> <name>Pink</name> <name>Punch</name> dishes ."
"Healthy wine, mustard and water recipes for sauce?",NAME,"<type>Healthy</type> <ing>wine</ing> , <ing>mustard</ing> and <ing>water</ing> recipes for <type>sauce</type> ?"
"what are the different ways to prepare broccoli, zucchinis and medium carrots?",NAME,"what are the different ways to prepare <ing>broccoli</ing> , <ing>zucchinis</ing> and <ing>medium</ing> <ing>carrots</ing> ?"
What are the ingredients for frying Creme Anglaise Sauce?,ING,What are the ingredients for <method>frying</method> <name>Creme</name> <name>Anglaise</name> <name>Sauce</name> ?
